epoch,acc,loss,val_acc,val_loss
0,0.6027777777777777,0.9064052128129535,0.48863636363636365,5.027774249774996
1,0.6918767507002801,0.7787661914731941,0.7674418604651163,0.5261695989689161
2,0.7142857142857143,0.6777679198095444,0.43023255813953487,4.998923307934473
3,0.742296918767507,0.6238388046830976,0.7093023255813954,1.9947763979434967
4,0.7591036414565826,0.6292098675455365,0.5697674418604651,1.0398576051689858
5,0.8095238095238095,0.4662465442191152,0.686046511627907,0.8680996104836637
6,0.8067226890756303,0.5355358780766067,0.6395348837209303,3.163461080254164
7,0.8011204481792717,0.46009467955396954,0.8372093023255814,0.3799443937145
8,0.7955182072829131,0.4599222141404112,0.8023255813953488,0.6138825481540935
9,0.8571428571428571,0.3885029101175587,0.7906976744186046,0.6376420307991116
