epoch,acc,loss,val_acc,val_loss
0,0.2777777777777778,1.108185542954339,0.2222222222222222,1.0664922528796725
1,0.5,1.0573524898952908,0.5555555555555556,1.0791523191663954
2,0.6111111111111112,1.0385500854916043,0.5555555555555556,0.9486676520771451
3,0.5555555555555556,1.0127520826127794,0.5,1.017316030131446
4,0.5,1.0148887832959492,0.6111111111111112,0.8852536214722527
5,0.3333333333333333,0.993281258477105,0.6111111111111112,1.3230080505212147
6,0.4444444444444444,0.9419345921940274,0.4444444444444444,2.1739644474453397
7,0.4444444444444444,1.0437727040714688,0.5555555555555556,1.3372508486111958
8,0.4444444444444444,1.1078290277057223,0.4444444444444444,1.2973653939035203
9,0.2777777777777778,1.1633822388119168,0.5,1.308878865506914
10,0.4444444444444444,1.0655259158876207,0.5555555555555556,1.1340121428171794
11,0.5,1.0649832950698004,0.5555555555555556,0.9339975449774001
12,0.3888888888888889,1.0223244031270344,0.6666666666666666,0.8767522772153219
13,0.5,0.968701163927714,0.6111111111111112,0.8501045107841492
